bin_start_sec,queue_zone_id,queue_mean,queue_max
0,E_queue,0,0
0,N_queue,0.2,2
0,S_queue,0.55,2
0,W_queue,0.2,1
60,E_queue,0.2,1
60,N_queue,0.2,2
60,S_queue,0.35,3
60,W_queue,0.05,1
120,E_queue,0.15,1
120,N_queue,0.15,2
120,S_queue,1.9,4
120,W_queue,0.7,1
180,E_queue,0.05,1
180,N_queue,0.2,2
180,S_queue,1.6,4
180,W_queue,0.55,3
240,E_queue,0.25,2
240,N_queue,0,0
240,S_queue,2.05,3
240,W_queue,0.1,1
300,E_queue,0.35,1
300,N_queue,0.2,2
300,S_queue,1.2,2
300,W_queue,0.4,2
360,E_queue,0.25,1
360,N_queue,0.1,1
360,S_queue,1.25,3
360,W_queue,0.35,1
420,E_queue,0.6,2
420,N_queue,0,0
420,S_queue,0.1,1
420,W_queue,0.85,2
480,E_queue,0,0
480,N_queue,0,0
480,S_queue,0,0
480,W_queue,0.5,1
